snake: x=8, y=33
snake: x=8, y=31
snake: x=8, y=29
snake: x=8, y=27
snake: x=8, y=25
snake: x=8, y=23
snake: x=12, y=23
snake: x=16, y=23
snake: x=20, y=23
snake: x=24, y=23
snake: x=28, y=23
snake: x=32, y=23
snake: x=36, y=23
snake: x=36, y=25
snake: x=36, y=27
snake: x=36, y=29
snake: x=36, y=31
snake: x=32, y=31
snake: x=28, y=31
snake: x=24, y=31
snake: x=20, y=31
snake: x=16, y=31
snake: x=12, y=31
snake: x=12, y=33
snake: x=12, y=35
snake: x=12, y=37
snake: x=12, y=39
snake: x=12, y=41
snake: x=12, y=43
snake: x=16, y=43
snake: x=20, y=43
snake: x=24, y=43
snake: x=28, y=43
snake: x=32, y=43
snake: x=36, y=43
snake: x=40, y=43
snake: x=40, y=41
snake: x=40, y=39
snake: x=40, y=37
snake: x=40, y=35
snake: x=40, y=33
snake: x=40, y=31
snake: x=40, y=29
snake: x=40, y=27
snake: x=40, y=25
snake: x=40, y=23
snake: x=40, y=21
snake: x=36, y=21
snake: x=32, y=21
snake: x=32, y=23
snake: x=32, y=25
snake: x=32, y=27
snake: x=32, y=29
snake: x=32, y=31
snake: x=32, y=33
snake: x=32, y=35
snake: x=32, y=37
snake: x=32, y=39
snake: x=28, y=39
snake: x=24, y=39
snake: x=20, y=39
snake: x=16, y=39
snake: x=12, y=39
snake: x=8, y=39
new position: x=31, y=1
snake: x=8, y=37
snake: x=8, y=35
snake: x=8, y=33
snake: x=8, y=31
snake: x=8, y=29
snake: x=8, y=27
snake: x=8, y=25
snake: x=8, y=23
snake: x=8, y=21
snake: x=8, y=19
snake: x=8, y=17
snake: x=8, y=15
snake: x=8, y=13
snake: x=8, y=11
snake: x=8, y=9
snake: x=8, y=7
snake: x=8, y=5
snake: x=12, y=5
snake: x=16, y=5
snake: x=20, y=5
snake: x=24, y=5
snake: x=24, y=3
snake: x=28, y=3
new position: x=83, y=17
snake: x=32, y=3
snake: x=36, y=3
snake: x=40, y=3
snake: x=44, y=3
snake: x=48, y=3
snake: x=52, y=3
snake: x=56, y=3
snake: x=60, y=3
snake: x=64, y=3
snake: x=68, y=3
snake: x=72, y=3
snake: x=76, y=3
snake: x=80, y=3
snake: x=84, y=3
snake: x=84, y=5
snake: x=84, y=7
snake: x=84, y=9
snake: x=84, y=11
snake: x=84, y=13
snake: x=84, y=15
snake: x=84, y=17
new position: x=30, y=6
snake: x=84, y=19
snake: x=84, y=21
snake: x=84, y=23
snake: x=80, y=23
snake: x=76, y=23
snake: x=72, y=23
snake: x=68, y=23
snake: x=64, y=23
snake: x=64, y=21
snake: x=64, y=19
snake: x=64, y=17
snake: x=64, y=15
snake: x=64, y=13
snake: x=64, y=11
snake: x=64, y=9
snake: x=64, y=7
snake: x=60, y=7
snake: x=56, y=7
snake: x=52, y=7
snake: x=48, y=7
snake: x=44, y=7
snake: x=40, y=7
snake: x=36, y=7
snake: x=32, y=7
new position: x=6, y=37
snake: x=28, y=7
snake: x=24, y=7
snake: x=20, y=7
snake: x=20, y=9
snake: x=20, y=11
snake: x=20, y=13
snake: x=20, y=15
snake: x=20, y=17
snake: x=20, y=19
snake: x=24, y=19
snake: x=28, y=19
snake: x=32, y=19
snake: x=36, y=19
snake: x=40, y=19
snake: x=44, y=19
snake: x=44, y=21
snake: x=44, y=23
snake: x=40, y=23
snake: x=36, y=23
snake: x=32, y=23
snake: x=28, y=23
snake: x=24, y=23
snake: x=20, y=23
snake: x=16, y=23
snake: x=12, y=23
snake: x=8, y=23
snake: x=4, y=23
snake: x=4, y=25
snake: x=4, y=27
snake: x=4, y=29
snake: x=4, y=31
snake: x=4, y=33
snake: x=4, y=35
